SingleOrMulti,NormalOrRecOrRecLinear,lgN,RemapThreads,ComparisonThreads,SmartOrDumb,DatasetSize,NumNodes,lgN,lgP,lgE,starttime,startnlet1,endTime,endnlet2,Clock or Ticks is endtime sub startime,TotalTime,Result,real,user,sys
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,6,Dumb,16,8,4,3,1,1.18E+12,0,1.18E+12,0,,1.771428,PASS,"real	0m34.663s","user	0m34.010s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,7,Smart,16,8,4,3,1,1.19E+12,0,1.19E+12,0,,3.219108,PASS,"real	0m34.745s","user	0m34.104s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,7,Dumb,16,8,4,3,1,1.19E+12,0,1.19E+12,0,,1.775114,PASS,"real	0m34.738s","user	0m34.095s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,0,Smart,16,8,4,3,1,1.20E+12,0,1.20E+12,0,,3.223725,PASS,"real	0m34.662s","user	0m34.020s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,0,Dumb,16,8,4,3,1,1.21E+12,0,1.21E+12,0,,1.776788,PASS,"real	0m34.659s","user	0m34.019s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,1,Smart,16,8,4,3,1,1.22E+12,0,1.22E+12,0,,3.224325,PASS,"real	0m34.663s","user	0m34.018s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,1,Dumb,16,8,4,3,1,1.22E+12,0,1.22E+12,0,,1.851388,PASS,"real	0m34.738s","user	0m34.101s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,2,Smart,16,8,4,3,1,1.23E+12,0,1.23E+12,0,,3.220977,PASS,"real	0m34.663s","user	0m34.023s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,2,Dumb,16,8,4,3,1,1.24E+12,0,1.24E+12,0,,1.770737,PASS,"real	0m34.660s","user	0m34.017s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,3,Smart,16,8,4,3,1,1.24E+12,0,1.24E+12,0,,3.219022,PASS,"real	0m34.743s","user	0m34.104s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,3,Dumb,16,8,4,3,1,1.25E+12,0,1.25E+12,0,,1.77068,PASS,"real	0m34.661s","user	0m34.029s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,4,Smart,16,8,4,3,1,1.26E+12,0,1.26E+12,0,,3.220177,PASS,"real	0m34.666s","user	0m34.002s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,4,Dumb,16,8,4,3,1,1.26E+12,0,1.26E+12,0,,1.770674,PASS,"real	0m34.663s","user	0m34.018s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,5,Smart,16,8,4,3,1,1.27E+12,0,1.27E+12,0,,3.222274,PASS,"real	0m34.663s","user	0m34.015s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,5,Dumb,16,8,4,3,1,1.28E+12,0,1.28E+12,0,,1.771428,PASS,"real	0m34.660s","user	0m34.008s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,6,Smart,16,8,4,3,1,1.28E+12,0,1.28E+12,0,,3.21912,PASS,"real	0m34.745s","user	0m34.102s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,6,Dumb,16,8,4,3,1,1.29E+12,0,1.29E+12,0,,1.770719,PASS,"real	0m34.742s","user	0m34.093s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,7,Smart,16,8,4,3,1,1.30E+12,0,1.30E+12,0,,3.221297,PASS,"real	0m34.664s","user	0m34.018s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,5,7,Dumb,16,8,4,3,1,1.30E+12,0,1.30E+12,0,,1.771474,PASS,"real	0m34.662s","user	0m34.009s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,0,Smart,16,8,4,3,1,1.31E+12,0,1.31E+12,0,,3.222279,PASS,"real	0m34.661s","user	0m34.017s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,0,Dumb,16,8,4,3,1,1.32E+12,0,1.32E+12,0,,1.770891,PASS,"real	0m34.662s","user	0m34.016s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,1,Smart,16,8,4,3,1,1.32E+12,0,1.32E+12,0,,3.224062,PASS,"real	0m34.661s","user	0m34.013s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,1,Dumb,16,8,4,3,1,1.33E+12,0,1.33E+12,0,,1.852714,PASS,"real	0m34.664s","user	0m34.012s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,2,Smart,16,8,4,3,1,1.34E+12,0,1.34E+12,0,,3.223737,PASS,"real	0m34.663s","user	0m34.014s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,2,Dumb,16,8,4,3,1,1.34E+12,0,1.34E+12,0,,1.771497,PASS,"real	0m34.664s","user	0m34.012s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,3,Smart,16,8,4,3,1,1.35E+12,0,1.35E+12,0,,3.223457,PASS,"real	0m34.662s","user	0m34.017s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,3,Dumb,16,8,4,3,1,1.36E+12,0,1.36E+12,0,,1.776017,PASS,"real	0m34.660s","user	0m34.016s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,4,Smart,16,8,4,3,1,1.36E+12,0,1.36E+12,0,,3.219114,PASS,"real	0m34.661s","user	0m34.024s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,4,Dumb,16,8,4,3,1,1.37E+12,0,1.37E+12,0,,1.771828,PASS,"real	0m34.743s","user	0m34.100s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,5,Smart,16,8,4,3,1,1.38E+12,0,1.38E+12,0,,3.223748,PASS,"real	0m34.743s","user	0m34.099s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,5,Dumb,16,8,4,3,1,1.38E+12,0,1.38E+12,0,,1.771502,PASS,"real	0m34.659s","user	0m34.010s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,6,Smart,16,8,4,3,1,1.39E+12,0,1.39E+12,0,,3.223725,PASS,"real	0m34.662s","user	0m34.017s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,6,Dumb,16,8,4,3,1,1.40E+12,0,1.40E+12,0,,1.771405,PASS,"real	0m34.663s","user	0m34.017s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,7,Smart,16,8,4,3,1,1.40E+12,0,1.40E+12,0,,3.223731,PASS,"real	0m34.660s","user	0m34.013s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,6,7,Dumb,16,8,4,3,1,1.41E+12,0,1.41E+12,0,,1.771422,PASS,"real	0m34.662s","user	0m34.023s","sys	0m0.613s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,0,Smart,16,8,4,3,1,1.42E+12,0,1.42E+12,0,,3.223737,PASS,"real	0m34.663s","user	0m34.014s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,0,Dumb,16,8,4,3,1,1.42E+12,0,1.42E+12,0,,1.770725,PASS,"real	0m34.743s","user	0m34.093s","sys	0m0.622s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,1,Smart,16,8,4,3,1,1.43E+12,0,1.43E+12,0,,3.221371,PASS,"real	0m34.667s","user	0m34.019s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,1,Dumb,16,8,4,3,1,1.44E+12,0,1.44E+12,0,,1.852548,PASS,"real	0m34.661s","user	0m34.010s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,2,Smart,16,8,4,3,1,1.44E+12,0,1.44E+12,0,,3.219182,PASS,"real	0m34.662s","user	0m34.021s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,2,Dumb,16,8,4,3,1,1.45E+12,0,1.45E+12,0,,1.771422,PASS,"real	0m34.742s","user	0m34.090s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,3,Smart,16,8,4,3,1,1.46E+12,0,1.46E+12,0,,3.220211,PASS,"real	0m34.743s","user	0m34.092s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,3,Dumb,16,8,4,3,1,1.46E+12,0,1.46E+12,0,,1.771405,PASS,"real	0m34.665s","user	0m34.013s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,4,Smart,16,8,4,3,1,1.47E+12,0,1.47E+12,0,,3.223737,PASS,"real	0m34.663s","user	0m34.023s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,4,Dumb,16,8,4,3,1,1.48E+12,0,1.48E+12,0,,1.771422,PASS,"real	0m34.742s","user	0m34.089s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,7,5,Smart,16,8,4,3,1,1.48E+12,0,1.48E+12,0,,3.220782,PASS,"real	0m34.744s","user	0m34.091s","sys	0m0.618s"
